shop,departement,CA_P1,CA_P2,MARGE_P1,MARGE_P2,STOCK_fin_P1,STOCK_fin_P2,,PROG_CA_ttc,POURC_marge_P1,POURC_marge_P2,PROG_POURC_Marge,PROG_euro_Marge_pourc,PROG_Stock_fin,STOCK_Theorique,STOCK_surplus_POURC
MUZILLAC,GO SHOES,3158,18011,1015,3590,84005,81917,,"470,27","38,58","23,92","-38,00","253,54","-2,49",234137,"-65,01"
MUZILLAC,GO SPORTS DE RAQUETTES,169,1255,47,237,11275,11166,,"643,01","33,13","22,66","-31,59","408,32","-0,97",16320,"-31,58"
MUZILLAC,GO SWIM,454,1161,214,372,12075,12791,,"155,84","56,58","38,42","-32,10","73,71","5,92",15087,"-15,22"
MUZILLAC,GOLF,0,0,0,0,0,0,,"0,00",,,"0,00","0,00","0,00",0,
MUZILLAC,JEUX,37,367,15,94,3722,3632,,"893,48","48,16","30,61","-36,44","531,42","-2,41",4772,"-23,89"
MUZILLAC,MISS GO,1392,13718,589,3743,43777,46689,,"885,36","50,79","32,74","-35,53","535,24","6,65",178331,"-73,82"
MUZILLAC,Non défini,0,0,0,0,0,0,,"0,00",,,"0,00","0,00","0,00",0,
MUZILLAC,OFFRE CLUB & COLLECTIVITES,0,0,0,0,253,283,,"0,00",,,"0,00","0,00","12,07",0,
MUZILLAC,PRODUITS NON COMMERCIALISES,0,-70,0,-58,0,0,,"0,00",,"99,99","0,00","0,00","0,00",-910,"-100,00"
MUZILLAC,RANDONNEE,1395,12581,457,2956,56476,51127,,"802,06","39,34","28,19","-28,34","546,43","-9,47",163556,"-68,74"
MUZILLAC,SAC DE CAISSE,15,75,4,16,-58,168,,"407,40","29,94","25,73","-14,05","336,12","-390,17",981,"-82,84"
MUZILLAC,SFA NON UTILISEE,17,38,8,-6,988,566,,"122,42","58,20","-17,88","-130,72","-168,33","-42,77",491,"15,15"
MUZILLAC,SPORTS COLLECTIFS,1627,4808,639,1331,39517,35685,,"195,54","47,12","33,21","-29,52","108,31","-9,70",62508,"-42,91"
MUZILLAC,SPORTS D EAU,3,72,2,27,2971,5413,,"2 306,69","73,04","44,39","-39,23","1 362,64","82,20",935,"478,62"
MUZILLAC,SPORTS D HIVER,452,1955,173,745,17310,19173,,"332,89","46,04","45,70","-0,75","329,65","10,77",25419,"-24,57"
MUZILLAC,SPORTS OUTDOOR,0,0,0,0,0,0,,"0,00",,,"0,00","0,00","0,00",0,
MUZILLAC,TECHNOLOGIE,280,288,51,34,472,832,,"2,85","21,87","14,15","-35,30","-33,45","76,38",3743,"-77,77"
MUZILLAC,TOTAUX,17015,104466,6197,26791,464827,444879,,"513,97","43,70","30,78","-29,58","332,33","-4,29",1358053,"-67,24"
PONTIVY,ACCESSOIRES TEXTILE,867,1438,451,692,15164,11774,,"65,86","62,38","57,71","-7,49","53,44","-22,36",18693,"-37,02"
PONTIVY,BAGAGERIE,1387,1446,521,533,17805,12910,,"4,25","45,05","44,28","-1,69","2,49","-27,49",18792,"-31,30"
PONTIVY,BEACHWEAR,5,0,2,0,3498,4568,,"-100,00","36,24",,"-100,00","-100,00","30,58",0,
PONTIVY,CYCLE,5032,6932,1314,1846,171645,178914,,"37,76","31,33","31,96","2,01","40,53","4,23",90117,"98,54"
PONTIVY,EQUITATION,0,0,0,0,679,0,,"0,00",,,"0,00","0,00","-100,00",0,
PONTIVY,GLISSE URBAINE,676,736,62,203,6245,4394,,"8,87","11,06","33,16","199,89","226,48","-29,64",9566,"-54,06"
PONTIVY,GO CARE,216,146,87,57,5144,7341,,"-32,34","48,44","46,53","-3,93","-35,00","42,69",1897,"286,99"
PONTIVY,GO FIT,1600,224,152,77,10431,8634,,"-85,97","11,41","41,17","260,71","-49,40","-17,23",2917,"195,95"
PONTIVY,GO KIDS,1730,1883,639,640,40765,30512,,"8,82","44,33","40,76","-8,06","0,05","-25,15",24478,"24,65"
PONTIVY,GO MAN,5598,9607,2360,4188,111953,106991,,"71,61","50,59","52,32","3,42","77,48","-4,43",124885,"-14,33"
PONTIVY,GO RUN,2017,2150,700,720,75703,69008,,"6,60","41,65","40,18","-3,54","2,83","-8,84",27946,"146,94"
PONTIVY,GO SHOES,5555,6405,1843,2168,123463,120817,,"15,30","39,80","40,62","2,05","17,66","-2,14",83269,"45,09"
PONTIVY,GO SPORTS DE RAQUETTES,1147,542,302,179,18751,14951,,"-52,73","31,60","39,61","25,33","-40,76","-20,27",7050,"112,08"
PONTIVY,GO SWIM,580,831,186,335,11767,14919,,"43,26","38,60","48,38","25,34","79,56","26,79",10798,"38,16"
PONTIVY,GOLF,0,0,0,0,0,196,,"0,00",,,"0,00","0,00","0,00",0,
PONTIVY,JEUX,888,710,220,199,6446,7699,,"-20,08","29,70","33,66","13,34","-9,43","19,44",9227,"-16,56"
PONTIVY,MISS GO,2094,3125,900,1346,74638,69298,,"49,25","51,57","51,70","0,25","49,62","-7,15",40625,"70,58"
PONTIVY,Non défini,0,0,0,0,0,0,,"0,00",,,"0,00","0,00","0,00",0,
PONTIVY,OFFRE CLUB & COLLECTIVITES,0,0,0,0,-26,-22,,"0,00",,,"0,00","0,00","-14,19",0,
PONTIVY,PRODUITS NON COMMERCIALISES,0,745,0,621,3351,162,,"0,00",,"100,00","0,00","0,00","-95,17",9685,"-98,33"
PONTIVY,RANDONNEE,2985,2762,981,987,86493,69650,,"-7,46","39,44","42,90","8,78","0,66","-19,47",35904,"93,99"
PONTIVY,SAC DE CAISSE,55,82,13,25,967,176,,"49,57","28,92","36,25","25,35","87,48","-81,77",1063,"-83,43"
PONTIVY,SFA NON UTILISEE,20,0,6,0,4153,3580,,"-100,00","36,04",,"-100,00","-100,00","-13,80",0,
PONTIVY,SPORTS COLLECTIFS,5744,6123,2289,2186,98162,78089,,"6,60","47,83","42,84","-10,42","-4,51","-20,45",79597,"-1,89"
PONTIVY,SPORTS D EAU,15,0,6,0,159,275,,"-100,00","48,99",,"-100,00","-100,00","73,29",0,
PONTIVY,SPORTS D HIVER,1353,1299,538,535,30145,29463,,"-3,96","47,71","49,41","3,55","-0,55","-2,26",16886,"74,48"
PONTIVY,SPORTS OUTDOOR,0,0,0,0,0,0,,"0,00",,,"0,00","0,00","0,00",0,
PONTIVY,TECHNOLOGIE,440,600,63,54,2721,3857,,"36,36","17,30","10,82","-37,47","-14,74","41,79",7799,"-50,54"
PONTIVY,TOTAUX,40001,47784,13634,17591,920222,848155,,"19,46","40,90","44,18","8,00","29,02","-7,83",621193,"36,54"
REDON,ACCESSOIRES TEXTILE,568,354,295,155,9424,8611,,"-37,75","62,26","52,64","-15,45","-47,37","-8,62",4597,"87,30"
REDON,BAGAGERIE,456,286,171,82,13369,11573,,"-37,17","45,08","34,35","-23,79","-52,11","-13,43",3723,"210,85"
REDON,BEACHWEAR,0,0,0,0,1600,2307,,"0,00",,,"0,00","0,00","44,19",0,
REDON,CYCLE,139,209,37,32,12990,14343,,"50,72","31,74","18,60","-41,40","-11,67","10,42",2723,"426,74"
REDON,EQUITATION,0,0,0,0,-72,379,,"0,00",,,"0,00","0,00","-627,34",0,
REDON,GLISSE URBAINE,115,70,37,17,2673,2218,,"-39,14","38,23","29,27","-23,43","-53,40","-17,02",910,"143,79"
REDON,GO CARE,50,51,20,16,3623,3533,,"1,60","49,01","36,72","-25,07","-23,87","-2,49",660,"435,53"
REDON,GO FIT,144,390,46,69,4751,3059,,"170,94","38,15","21,32","-44,12","51,40","-35,61",5069,"-39,65"
REDON,GO KIDS,873,772,306,247,38333,25198,,"-11,58","41,98","38,41","-8,50","-19,10","-34,27",10038,"151,02"
REDON,GO MAN,4626,4913,1674,1897,94110,81135,,"6,19","43,41","46,34","6,75","13,36","-13,79",63863,"27,05"
REDON,GO RUN,312,510,98,192,36825,30843,,"63,13","37,53","45,32","20,77","97,02","-16,25",6625,"365,56"
REDON,GO SHOES,2584,2362,808,715,101906,94308,,"-8,59","37,50","36,35","-3,08","-11,41","-7,46",30705,"207,14"
REDON,GO SPORTS DE RAQUETTES,5,56,2,22,5689,5207,,"918,21","40,66","48,13","18,38","1 105,38","-8,48",727,"616,50"
REDON,GO SWIM,115,94,36,39,7101,7655,,"-18,30","37,20","49,75","33,73","9,26","7,81",1221,"526,92"
REDON,GOLF,0,0,0,0,0,0,,"0,00",,,"0,00","0,00","0,00",0,
REDON,JEUX,51,463,20,106,2655,3677,,"808,80","46,72","0,00","-100,00","433,03","38,50",6017,"-38,88"
REDON,MISS GO,1053,1299,472,548,51383,49960,,"23,37","53,80","50,60","-5,95","16,03","-2,77",16884,"195,91"
REDON,Non défini,0,0,0,0,0,0,,"0,00",,,"0,00","0,00","0,00",0,
REDON,OFFRE CLUB & COLLECTIVITES,0,0,0,0,-83,158,,"0,00",,,"0,00","0,00","-288,90",0,
REDON,PRODUITS NON COMMERCIALISES,0,0,0,0,519,520,,"0,00",,,"0,00","0,00","0,13",0,
REDON,RANDONNEE,731,1094,253,301,38693,41164,,"49,61","41,51","32,97","-20,58","18,83","6,39",14227,"189,33"
REDON,SAC DE CAISSE,9,5,2,1,972,944,,"-44,32","26,73","35,50","32,82","-26,04","-2,86",62,"1 413,09"
REDON,SFA NON UTILISEE,20,0,-2,0,1274,722,,"-100,00","-10,98",,"-100,00","-100,00","-43,35",0,
REDON,SPORTS COLLECTIFS,1749,1569,726,524,64779,57635,,"-10,29","49,81","40,08","-19,54","-27,82","-11,03",20395,"182,59"
REDON,SPORTS D EAU,0,0,0,0,58,266,,"0,00",,,"0,00","0,00","361,62",0,
REDON,SPORTS D HIVER,377,1066,136,440,15817,20248,,"182,84","43,30","49,57","14,47","223,75","28,02",13855,"46,15"
REDON,SPORTS OUTDOOR,0,0,0,0,0,0,,"0,00",,,"0,00","0,00","0,00",0,
REDON,TECHNOLOGIE,0,0,0,0,770,777,,"0,00",,,"0,00","0,00","0,91",0,
REDON,TOTAUX,13978,15562,5134,5405,509160,466441,,"11,33","44,08","41,68","-5,45","5,27","-8,39",202303,"130,57"
ST MEEN,ACCESSOIRES TEXTILE,655,2513,366,1218,7647,6597,,"283,48","67,07","58,18","-13,26","232,63","-13,73",32669,"-79,81"
ST MEEN,BAGAGERIE,209,820,84,270,8005,4751,,"292,34","48,37","39,48","-18,37","220,25","-40,64",10655,"-55,41"
ST MEEN,BEACHWEAR,0,0,0,0,1048,2069,,"0,00",,,"0,00","0,00","97,34",0,
ST MEEN,CYCLE,952,4637,292,1114,27870,28309,,"387,00","36,74","28,83","-21,54","282,10","1,58",60282,"-53,04"
ST MEEN,EQUITATION,0,0,0,0,0,0,,"0,00",,,"0,00","0,00","0,00",0,
ST MEEN,GLISSE URBAINE,35,284,16,75,2206,2182,,"712,86","53,36","31,44","-41,08","378,92","-1,11",3697,"-40,99"
ST MEEN,GO CARE,44,312,15,122,3093,2894,,"605,37","41,54","47,13","13,45","700,26","-6,44",4050,"-28,55"
ST MEEN,GO FIT,26,700,10,202,5948,6750,,"2 592,07","47,00","34,69","-26,19","1 887,13","13,49",9096,"-25,79"
ST MEEN,GO KIDS,863,5815,304,1455,32602,27823,,"573,78","42,29","30,02","-29,01","378,30","-14,66",75600,"-63,20"
ST MEEN,GO MAN,2717,17122,1173,5557,58195,57729,,"530,23","51,79","38,95","-24,80","373,96","-0,80",222587,"-74,06"
ST MEEN,GO RUN,848,3825,309,1251,34571,35620,,"350,85","43,73","39,25","-10,25","304,64","3,03",49720,"-28,36"
ST MEEN,GO SHOES,2295,12340,697,3311,65403,66801,,"437,64","36,42","32,20","-11,58","375,37","2,14",160425,"-58,36"
ST MEEN,GO SPORTS DE RAQUETTES,85,921,25,127,5498,5820,,"977,99","35,26","16,56","-53,04","406,22","5,85",11971,"-51,38"
ST MEEN,GO SWIM,618,1586,274,581,10418,11964,,"156,51","53,19","43,93","-17,41","111,86","14,84",20620,"-41,98"
ST MEEN,GOLF,0,0,0,0,0,0,,"0,00",,,"0,00","0,00","0,00",0,
ST MEEN,JEUX,146,877,39,272,4891,4535,,"501,02","31,96","37,15","16,22","598,48","-7,27",11404,"-60,23"
ST MEEN,MISS GO,1203,11738,542,3860,36568,44347,,"875,48","54,07","39,46","-27,01","611,98","21,27",152598,"-70,94"
ST MEEN,Non défini,0,0,0,0,0,0,,"0,00",,,"0,00","0,00","0,00",0,
ST MEEN,OFFRE CLUB & COLLECTIVITES,0,-6,0,-2,495,17,,"0,00",,"40,00","0,00","0,00","-96,51",-78,"-122,12"
ST MEEN,PRODUITS NON COMMERCIALISES,0,20,0,17,244,231,,"0,00",,"100,02","0,00","0,00","-5,46",260,"-11,22"
ST MEEN,RANDONNEE,1950,7586,714,2296,43878,41735,,"289,14","43,94","36,31","-17,35","221,61","-4,88",98621,"-57,68"
ST MEEN,SAC DE CAISSE,20,22,5,6,61,50,,"9,25","29,66","29,89","0,78","10,10","-17,29",290,"-82,73"
ST MEEN,SFA NON UTILISEE,6,35,2,7,1601,1067,,"482,64","49,28","24,65","-49,98","191,46","-33,38",454,"135,13"
ST MEEN,SPORTS COLLECTIFS,1108,6785,413,1803,45559,42281,,"512,52","44,76","31,88","-28,78","336,26","-7,20",88208,"-52,07"
ST MEEN,SPORTS D EAU,8,0,4,0,253,181,,"-100,00","57,97",,"-100,00","-100,00","-28,34",0,
ST MEEN,SPORTS D HIVER,738,3441,317,1239,18161,17481,,"366,16","51,52","43,21","-16,13","290,95","-3,74",44738,"-60,93"
ST MEEN,SPORTS OUTDOOR,0,0,0,0,0,0,,"0,00",,,"0,00","0,00","0,00",0,
ST MEEN,TECHNOLOGIE,20,409,10,64,917,1052,,"1 946,85","57,90","18,67","-67,75","560,17","14,71",5316,"-80,21"
ST MEEN,TOTAUX,14548,81783,5611,24843,415131,412286,,"462,16","46,28","36,45","-21,23","342,79","-0,69",1063185,"-61,22"
